,Title,Rating,Year,Director,Date of release,Duration,Genre,Type,Platform
0,schindler's list,8.9,1993,Steven Spielberg,1993,195 min,"Classic Movies, Dramas",Movie,Netflix
1,the lord of the rings: the return of the king,8.9,2003,Peter Jackson,2003,201 min,"Action & Adventure, Sci-Fi & Fantasy",Movie,Netflix
2,pulp fiction,8.9,1994,Quentin Tarantino,1994,154 min,"Classic Movies, Cult Movies, Dramas",Movie,Netflix
3,inception,8.7,2010,Christopher Nolan,2010,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",Movie,Netflix
4,the lord of the rings: the two towers,8.7,2002,Peter Jackson,2002,179 min,"Action & Adventure, Sci-Fi & Fantasy",Movie,Netflix
5,the matrix,8.7,1999,Lana Wachowski,1999,136 min,"Action & Adventure, Sci-Fi & Fantasy",Movie,Netflix
6,goodfellas,8.7,1990,Martin Scorsese,1990,145 min,"Classic Movies, Dramas",Movie,Netflix
7,city of god,8.6,2002,Fernando Meirelles,2002,130 min,"Dramas, Independent Movies, International Movies",Movie,Netflix
8,psycho,8.5,1960,Alfred Hitchcock,2020,143 min,"Horror Movies, International Movies, Thrillers",Movie,Netflix
9,the pianist,8.5,2002,Roman Polanski,2002,149 min,"Dramas, Independent Movies, International Movies",Movie,Netflix
10,american history x,8.5,1998,Tony Kaye,1998,119 min,Dramas,Movie,Netflix
11,the departed,8.5,2006,Martin Scorsese,2006,151 min,"Dramas, Thrillers",Movie,Netflix
12,the intouchables,8.5,2011,Olivier Nakache,2011,112 min,"Comedies, Dramas, International Movies",Movie,Netflix
13,once upon a time in the west,8.4,1968,Sergio Leone,1968,166 min,"Action & Adventure, Classic Movies, International Movies",Movie,Netflix
14,indiana jones and the raiders of the lost ark,8.4,1981,Steven Spielberg,1981,116 min,"Action & Adventure, Children & Family Movies, Classic Movies",Movie,Netflix
15,django unchained,8.4,2012,Quentin Tarantino,2012,165 min,"Action & Adventure, Dramas",Movie,Netflix
16,the lives of others,8.4,2006,Florian Henckel von Donnersmarck,2006,138 min,"Dramas, International Movies, Thrillers",Movie,Netflix
17,avengers: infinity war,8.4,2018,Anthony Russo,2018,150 min,"Action & Adventure, Sci-Fi & Fantasy",Movie,Netflix
18,american beauty,8.3,1999,Sam Mendes,1999,122 min,Dramas,Movie,Netflix
19,spider-man: into the spider-verse,8.3,2018,Bob Persichetti,2018,117 min,"Action & Adventure, Comedies",Movie,Netflix
20,joker,8.3,2019,Todd Phillips,2012,98 min,"Comedies, International Movies, Music & Musicals",Movie,Netflix
21,inglourious basterds,8.3,2009,Quentin Tarantino,2009,153 min,Action & Adventure,Movie,Netflix
22,once upon a time in america,8.3,1984,Sergio Leone,1984,229 min,"Classic Movies, Dramas",Movie,Netflix
23,3 idiots,8.3,2009,Rajkumar Hirani,2009,164 min,"Comedies, Dramas, International Movies",Movie,Netflix
24,the hunt,8.3,2012,Thomas Vinterberg,2015,1 Season,"British TV Shows, Docuseries, Science & Nature TV",Movie,Netflix
25,a clockwork orange,8.2,1971,Stanley Kubrick,1971,137 min,"Classic Movies, Cult Movies, Dramas",Movie,Netflix
26,the apartment,8.2,1960,Billy Wilder,2014,2 Seasons,"International TV Shows, Reality TV",Movie,Netflix
27,taxi driver,8.2,1976,Martin Scorsese,2015,94 min,"Comedies, Dramas, Independent Movies",Movie,Netflix
28,a separation,8.2,2011,Asghar Farhadi,2011,123 min,"Dramas, International Movies",Movie,Netflix
29,indiana jones and the last crusade,8.2,1989,Steven Spielberg,1989,127 min,"Action & Adventure, Children & Family Movies, Classic Movies",Movie,Netflix
30,dangal,8.2,2016,Nitesh Tiwari,2016,161 min,"Dramas, International Movies, Sports Movies",Movie,Netflix
31,pan's labyrinth,8.2,2006,Guillermo del Toro,2006,119 min,"Dramas, International Movies, Sci-Fi & Fantasy",Movie,Netflix
32,there will be blood,8.2,2007,Paul Thomas Anderson,2007,158 min,"Dramas, Independent Movies",Movie,Netflix
33,monty python and the holy grail,8.2,1975,Terry Gilliam,1975,92 min,"Action & Adventure, Classic Movies, Comedies",Movie,Netflix
34,shutter island,8.1,2010,Martin Scorsese,2010,139 min,Thrillers,Movie,Netflix
35,kill bill: vol. 1,8.1,2003,Quentin Tarantino,2003,111 min,Action & Adventure,Movie,Netflix
36,raging bull,8.1,1980,Martin Scorsese,1980,129 min,"Classic Movies, Dramas, Sports Movies",Movie,Netflix
37,v for vendetta,8.1,2006,James McTeigue,2005,132 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy",Movie,Netflix
38,"lock, stock and two smoking barrels",8.1,1998,Guy Ritchie,1998,108 min,"Action & Adventure, Comedies, Independent Movies",Movie,Netflix
39,trainspotting,8.1,1996,Danny Boyle,1996,94 min,"Comedies, Cult Movies, Dramas",Movie,Netflix
40,warrior,8.1,2011,Gavin O'Connor,2018,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Movie,Netflix
41,gran torino,8.1,2008,Clint Eastwood,2008,117 min,Dramas,Movie,Netflix
42,million dollar baby,8.1,2004,Clint Eastwood,2004,133 min,"Dramas, Sports Movies",Movie,Netflix
43,catch me if you can,8.1,2002,Steven Spielberg,2002,142 min,Dramas,Movie,Netflix
44,klaus,8.1,2019,Sergio Pablos,2019,98 min,"Children & Family Movies, Comedies",Movie,Netflix
45,room,8.1,2015,Lenny Abrahamson,2015,118 min,"Dramas, Independent Movies",Movie,Netflix
46,jaws,8.1,1975,Steven Spielberg,1975,124 min,"Action & Adventure, Classic Movies, Dramas",Movie,Netflix
