,Title,Rating,Year,Director,Date of release,Duration,Genre,Type,Platform
51,the haunting of hill house,8.5,2018,"Michiel Huisman, Carla Gugino",2018,1 Season,"TV Dramas, TV Horror, TV Mysteries",Tv Show,Netflix
52,formula 1: drive to survive,8.5,2019,"Jack Nicholls, Lewis Hamilton",2021,3 Seasons,Docuseries,Tv Show,Netflix
53,the queen's gambit,8.5,2020,"Anya Taylor-Joy, Chloe Pirrie",2020,1 Season,TV Dramas,Tv Show,Netflix
54,ramayan,8.5,1987,"Arun Govil, Deepika Chikhalia",2012,1 Season,"International TV Shows, TV Dramas",Tv Show,Netflix
55,crash landing on you,8.5,2019,"Hyun Bin, Son Ye-jin",2019,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Tv Show,Netflix
56,the it crowd,8.5,2006,"Chris O'Dowd, Richard Ayoade",2013,5 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows",Tv Show,Netflix
57,pose,8.5,2018,"Michaela Ja̩ (MJ) Rodriguez, Dominique Jackson",2019,2 Seasons,TV Dramas,Tv Show,Netflix
58,cobra kai,8.5,2018,"Ralph Macchio, William Zabka",2021,3 Seasons,"TV Action & Adventure, TV Comedies, TV Dramas",Tv Show,Netflix
59,spartacus,8.5,2010,"Andy Whitfield, Lucy Lawless",2013,4 Seasons,"TV Action & Adventure, TV Dramas",Tv Show,Netflix
60,fullmetal alchemist,8.5,2003,"Vic Mignogna, Aaron Dismuke",2017,134 min,"Action & Adventure, Dramas, International Movies",Tv Show,Netflix
61,fullmetal alchemist,8.5,2003,"Vic Mignogna, Aaron Dismuke",2003,1 Season,"Anime Series, International TV Shows",Tv Show,Netflix
62,north & south,8.5,2004,"Daniela Denby-Ashe, Richard Armitage",2004,1 Season,"British TV Shows, Romantic TV Shows, TV Dramas",Tv Show,Netflix
63,neon genesis evangelion,8.5,1995,"Megumi Ogata, Megumi Hayashibara",1995,1 Season,"Anime Series, International TV Shows",Tv Show,Netflix
64,trailer park boys,8.5,2001,"John Paul Tremblay, Robb Wells",2018,12 Seasons,"Classic & Cult TV, Crime TV Shows, International TV Shows",Tv Show,Netflix
65,ezel,8.5,2009,"Kenan Imirzalioglu, Cansu Dere",2009,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Tv Show,Netflix
66,mob psycho 100,8.5,2016,"Setsuo Ito, Takahiro Sakurai",2018,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",Tv Show,Netflix
67,hannibal,8.5,2013,"Hugh Dancy, Mads Mikkelsen",2015,3 Seasons,"TV Horror, TV Mysteries, TV Thrillers",Tv Show,Netflix
68,community,8.4,2009,"Joel McHale, Danny Pudi",2015,6 Seasons,TV Comedies,Tv Show,Netflix
69,schitt's creek,8.4,2015,"Eugene Levy, Catherine O'Hara",2020,6 Seasons,TV Comedies,Tv Show,Netflix
70,chef's table,8.4,2015,"Massimo Bottura, Ruth Reichl",2019,6 Seasons,"Docuseries, Reality TV",Tv Show,Netflix
71,your lie in april,8.4,2014,"Natsuki Hanae, Risa Taneda",2014,1 Season,"Anime Series, International TV Shows, Romantic TV Shows",Tv Show,Netflix
72,wentworth,8.4,2013,"Kate Atkinson, Katrina Milosevic",2020,8 Seasons,"Crime TV Shows, TV Dramas",Tv Show,Netflix
73,erased,8.4,2016,"Ben Diskin, Tao Tsuchiya",2016,1 Season,"Anime Series, International TV Shows, TV Thrillers",Tv Show,Netflix
74,ozark,8.4,2017,"Jason Bateman, Laura Linney",2020,3 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers",Tv Show,Netflix
