Title,Rating,Year,Director
sarabhai v/s sarabhai,8.6,2004,"Satish Shah, Ratna Pathak Shah"
the adventures of sherlock holmes,8.6,1984,"Jeremy Brett, David Burke"
peep show,8.6,2003,"David Mitchell, Robert Webb"
friday night lights,8.6,2006,"Kyle Chandler, Connie Britton"
top gear,8.6,2002,"Jeremy Clarkson, Richard Hammond"
severance,8.6,2022,"Adam Scott, Zach Cherry"
gullak,8.6,2019,"Jameel Khan, Geetanjali Kulkarni"
1883,8.6,2021,"Sam Elliott, Tim McGraw"
panchayat,8.6,2020,"Jitendra Kumar, Raghuvir Yadav"
the grand tour,8.6,2016,"Jeremy Clarkson, James May"
berserk,8.6,1997,"Marc Diraison, Nobutoshi Canna"
the thick of it,8.6,2005,"Chris Addison, James Smith"
line of duty,8.6,2012,"Martin Compston, Vicky McClure"
justice league unlimited,8.6,2004,"George Newbern, Kevin Conroy"
deadwood,8.6,2004,"Timothy Olyphant, Ian McShane"
dexter,8.6,2006,"Michael C. Hall, Jennifer Carpenter"
the x-files,8.6,1993,"David Duchovny, Gillian Anderson"
parks and recreation,8.6,2009,"Amy Poehler, Jim O'Heir"
the jinx: the life and deaths of robert durst,8.6,2015,"Andrew Jarecki, Robert Durst"
father ted,8.6,1995,"Dermot Morgan, Ardal O'Hanlon"
blackadder ii,8.6,1986,"Rowan Atkinson, Tony Robinson"
naruto: shippûden,8.6,2007,"Alexandre Crepet, Junko Takeuchi"
heartstopper,8.6,2022,"Joe Locke, Kit Connor"
this is us,8.6,2016,"Milo Ventimiglia, Mandy Moore"
demon slayer: kimetsu no yaiba,8.6,2019,"Natsuki Hanae, Zach Aguilar"
the bridge,8.6,2011,"Sofia Helin, Rafael Pettersson"
aspirants,8.6,2021,"Naveen Kasturia, Shivankit Singh Parihar"
daredevil,8.6,2015,"Charlie Cox, Vincent D'Onofrio"
code geass,8.6,2006,"Jun Fukuyama, Takahiro Sakurai"
archer,8.6,2009,"H. Jon Benjamin, Judy Greer"
atlanta,8.6,2016,"Donald Glover, Brian Tyree Henry"
behzat ç.: bir ankara polisiyesi,8.6,2010,"Erdal Besikçioglu, Inanç Konukçu"
it's a sin,8.6,2021,"Olly Alexander, Nathaniel Curtis"
mystery science theater 3000,8.6,1988,"Joel Hodgson, Michael J. Nelson"
haikyuu!!,8.6,2014,"Ayumu Murase, Kaito Ishikawa"
blackadder the third,8.6,1987,"Rowan Atkinson, Tony Robinson"
young justice,8.6,2010,"Nolan North, Danica McKellar"
lonesome dove,8.6,1989,"Robert Duvall, Tommy Lee Jones"
the return of sherlock holmes,8.6,1986,"Jeremy Brett, Edward Hardwicke"
gomorrah,8.6,2014,"Salvatore Esposito, Marco D'Amore"
mahabharat,8.6,1988,"Harish Bhimani, Nitish Bharadwaj"
mindhunter,8.5,2017,"Jonathan Groff, Holt McCallany"
yellowstone,8.5,2018,"Kevin Costner, Luke Grimes"
qi,8.5,2003,"Alan Davies, Stephen Fry"
adventure time,8.5,2010,"John DiMaggio, Jeremy Shada"
making a murderer,8.5,2015,"Steven Avery, Dolores Avery"
monster,8.5,2004,"Hidenobu Kiuchi, Liam O'Brien"
mr. bean,8.5,1990,"Rowan Atkinson, Robin Driscoll"
dopesick,8.5,2021,"Michael Keaton, Peter Sarsgaard"
poirot,8.5,1989,"David Suchet, Hugh Fraser"
anne with an e,8.5,2017,"Amybeth McNulty, Geraldine James"
boardwalk empire,8.5,2010,"Steve Buscemi, Kelly Macdonald"
justified,8.5,2010,"Timothy Olyphant, Nick Searcy"
yeh meri family,8.5,2018,"Vishesh Bansal, Mona Singh"
the haunting of hill house,8.5,2018,"Michiel Huisman, Carla Gugino"
the bugs bunny show,8.5,1960,"Mel Blanc, Pinto Colvig"
formula 1: drive to survive,8.5,2019,"Jack Nicholls, Lewis Hamilton"
yes minister,8.5,1980,"Paul Eddington, Nigel Hawthorne"
the queen's gambit,8.5,2020,"Anya Taylor-Joy, Chloe Pirrie"
the newsroom,8.5,2012,"Jeff Daniels, Emily Mortimer"
the eric andre show,8.5,2012,"Eric André, Hannibal Buress"
primal,8.5,2019,"Aaron LaPlante, Tom Kenny"
westworld,8.5,2016,"Evan Rachel Wood, Jeffrey Wright"
flight of the conchords,8.5,2007,"Jemaine Clement, Bret McKenzie"
ramayan,8.5,1987,"Arun Govil, Deepika Chikhalia"
dragon ball,8.5,1986,"Masako Nozawa, Jôji Yanami"
impractical jokers,8.5,2011,"Brian Quinn, James Murray"
justice league,8.5,2001,"Carl Lumbly, Phil LaMarr"
spaced,8.5,1999,"Simon Pegg, Jessica Hynes"
coupling,8.5,2000,"Jack Davenport, Gina Bellman"
battlestar galactica,8.5,2003,"Edward James Olmos, Mary McDonnell"
dragon ball,8.5,1995,"Brice Armstrong, Steve Olson"
crash landing on you,8.5,2019,"Hyun Bin, Son Ye-jin"
homicide: life on the street,8.5,1993,"Richard Belzer, Clark Johnson"
the venture bros.,8.5,2003,"Christopher McCulloch, James Urbaniak"
long way round,8.5,2004,"Ewan McGregor, Charley Boorman"
the it crowd,8.5,2006,"Chris O'Dowd, Richard Ayoade"
the office,8.5,2001,"Ricky Gervais, Martin Freeman"
what we do in the shadows,8.5,2019,"Kayvan Novak, Matt Berry"
the bureau,8.5,2015,"Mathieu Kassovitz, Florence Loiret Caille"
samurai champloo,8.5,2004,"Kazuya Nakai, Ginpei Sato"
louie,8.5,2010,"Louis C.K., Hadley Delany"
the family man,8.5,2019,"Manoj Bajpayee, Samantha Ruth Prabhu"
mr. robot,8.5,2015,"Rami Malek, Christian Slater"
i'm alan partridge,8.5,1997,"Steve Coogan, Simon Greenall"
black sun,8.5,2017,"Andrija Kuzmanovic, Marija Bergam"
"yes, prime minister",8.5,1986,"Paul Eddington, Nigel Hawthorne"
whose line is it anyway?,8.5,1998,"Drew Carey, Colin Mochrie"
through the wormhole,8.5,2010,"Morgan Freeman, Sean Carroll"
shameless,8.5,2011,"Emmy Rossum, William H. Macy"
pose,8.5,2018,"Michaela Jaé (MJ) Rodriguez, Dominique Jackson"
cobra kai,8.5,2018,"Ralph Macchio, William Zabka"
letterkenny,8.5,2016,"Jared Keeso, Nathan Dales"
spartacus,8.5,2010,"Andy Whitfield, Lucy Lawless"
jujutsu kaisen,8.5,2020,"Junya Enoki, Adam McArthur"
samurai jack,8.5,2001,"Phil LaMarr, Mako"
the offer,8.5,2022,"Miles Teller, Matthew Goode"
fullmetal alchemist,8.5,2003,"Vic Mignogna, Aaron Dismuke"
brass eye,8.5,1997,"Christopher Morris, Mark Heap"
skam,8.5,2015,"Josefine Frida Pettersen, Iman Meskini"
sons of anarchy,8.5,2008,"Charlie Hunnam, Katey Sagal"
north & south,8.5,2004,"Daniela Denby-Ashe, Richard Armitage"
spartacus: gods of the arena,8.5,2011,"John Hannah, Manu Bennett"
neon genesis evangelion,8.5,1995,"Megumi Ogata, Megumi Hayashibara"
silicon valley,8.5,2014,"Thomas Middleditch, T.J. Miller"
trailer park boys,8.5,2001,"John Paul Tremblay, Robb Wells"
from the earth to the moon,8.5,1998,"Tom Hanks, Nick Searcy"
ezel,8.5,2009,"Kenan Imirzalioglu, Cansu Dere"
doctor who,8.5,2005,"Jodie Whittaker, Peter Capaldi"
futurama,8.5,1999,"Billy West, John DiMaggio"
twin peaks,8.5,2017,"Kyle MacLachlan, Sheryl Lee"
endeavour,8.5,2012,"Shaun Evans, Roger Allam"
detectorists,8.5,2014,"Mackenzie Crook, Toby Jones"
rurouni kenshin: trust and betrayal,8.5,1999,"Mayo Suzukaze, Junko Iwao"
spy x family,8.5,2022,"Takuya Eguchi, Atsumi Tanezaki"
mob psycho 100,8.5,2016,"Setsuo Ito, Takahiro Sakurai"
hannibal,8.5,2013,"Hugh Dancy, Mads Mikkelsen"
community,8.4,2009,"Joel McHale, Danny Pudi"
the expanse,8.4,2015,"Steven Strait, Dominique Tipper"
generation kill,8.4,2008,"Alexander Skarsgård, James Ransone"
schitt's creek,8.4,2015,"Eugene Levy, Catherine O'Hara"
chef's table,8.4,2015,"Massimo Bottura, Ruth Reichl"
the night of,8.4,2016,"Riz Ahmed, John Turturro"
the angry video game nerd,8.4,2004,"James Rolfe, Mike Matei"
alfred hitchcock presents,8.4,1955,"Alfred Hitchcock, Harry Tyler"
big little lies,8.4,2017,"Reese Witherspoon, Nicole Kidman"
regular show,8.4,2009,"J.G. Quintel, William Salyers"
the knick,8.4,2014,"André Holland, Clive Owen"
content cop,8.4,2015,"Ian Washburn, Calvin Vail"
mr inbetween,8.4,2018,"Scott Ryan, Chika Yasumura"
your lie in april,8.4,2014,"Natsuki Hanae, Risa Taneda"
wentworth,8.4,2013,"Kate Atkinson, Katrina Milosevic"
john adams,8.4,2008,"Paul Giamatti, Laura Linney"
my brilliant friend,8.4,2018,"Alba Rohrwacher, Margherita Mazzucco"
black books,8.4,2000,"Dylan Moran, Bill Bailey"
the punisher,8.4,2017,"Jon Bernthal, Amber Rose Revah"
the defiant ones,8.4,2017,"Bono, Stevie Nicks"
x-men: the animated series,8.4,1992,"Cedric Smith, Cal Dodd"
avrupa yakasi,8.4,2004,"Gülse Birsel, Levent Üzümcü"
mare of easttown,8.4,2021,"Kate Winslet, Julianne Nicholson"
southland,8.4,2009,"Michael Cudlitz, Shawn Hatosy"
garth marenghi's darkplace,8.4,2004,"Richard Ayoade, Matt Berry"
erased,8.4,2016,"Ben Diskin, Tao Tsuchiya"
i love lucy,8.4,1951,"Lucille Ball, Desi Arnaz"
clannad: after story,8.4,2008,"Yûichi Nakamura, David Matranga"
ozark,8.4,2017,"Jason Bateman, Laura Linney"
gintama,8.4,2005,"Tomokazu Sugita, Daisuke Sakaguchi"
foyle's war,8.4,2002,"Michael Kitchen, Honeysuckle Weeks"
harley quinn,8.4,2019,"Kaley Cuoco, Lake Bell"
